code,system
B30..00,readv2
B30W.00,readv2
B30z.00,readv2
Byu3.00,readv2
Byu3200,readv2
Byu3300,readv2
B300.00,readv2
B300z00,readv2
B300000,readv2
B300100,readv2
B300200,readv2
B300300,readv2
B300400,readv2
B300500,readv2
B300600,readv2
B300700,readv2
B300800,readv2
B300900,readv2
B305.00,readv2
B305z00,readv2
B307.00,readv2
B307z00,readv2
ZV10y11,readv2
B300A00,readv2
B300B00,readv2
B300C00,readv2
B301.00,readv2
B303000,readv2
B303300,readv2
B303500,readv2
B304100,readv2
B304200,readv2
B304300,readv2
B304400,readv2
B306000,readv2
B306100,readv2
B306200,readv2
B307000,readv2
B307100,readv2
B307200,readv2
B308100,readv2
B308200,readv2
B308300,readv2
B302.00,readv2
B302z00,readv2
B302000,readv2
B302100,readv2
B302200,readv2
B303400,readv2
B306400,readv2
B303.00,readv2
B303200,readv2
B303z00,readv2
B303100,readv2
B304.00,readv2
B304z00,readv2
B304000,readv2
B305.11,readv2
B305.12,readv2
B305000,readv2
B305100,readv2
B305A00,readv2
B305C00,readv2
B305D00,readv2
B308D00,readv2
B306.00,readv2
B306z00,readv2
B306300,readv2
B306500,readv2
B308.00,readv2
B308z00,readv2
B308800,readv2
B308B00,readv2
B30X.00,readv2
Byu3100,readv2
B30z000,readv2
BBV..12,readv2
BBV1.00,readv2
BBV2.00,readv2
BBV3.00,readv2
BBV4.00,readv2
BBV5.00,readv2
BBV..11,readv2
BBV..13,readv2
BBV1.11,readv2
BBV1.13,readv2
BBVA.00,readv2
BBX1.11,readv2
BBY0.00,readv2
BBY0.11,readv2
BBZN.00,readv2
BBZN.11,readv2
BBV1.12,readv2
BBV9.00,readv2
BBW4.00,readv2
BBW4.11,readv2
BBW9.00,readv2
BBW6.00,readv2
BBW8.00,readv2
BBX1.12,readv2
BBZ2.11,readv2
100267.0,med
103354.0,med
105275.0,med
105475.0,med
105797.0,med
106069.0,med
108638.0,med
16075.0,med
16704.0,med
17475.0,med
18314.0,med
19437.0,med
21447.0,med
22561.0,med
24539.0,med
27528.0,med
29337.0,med
31673.0,med
32372.0,med
33833.0,med
34878.0,med
37842.0,med
38593.0,med
38938.0,med
40749.0,med
40814.0,med
40966.0,med
4118.0,med
43151.0,med
43614.0,med
44452.0,med
44609.0,med
4473.0,med
46282.0,med
46741.0,med
46939.0,med
49023.0,med
49054.0,med
49491.0,med
49701.0,med
49862.0,med
50152.0,med
50298.0,med
50299.0,med
50402.0,med
5052.0,med
50859.0,med
51237.0,med
51921.0,med
52684.0,med
53594.0,med
53599.0,med
54493.0,med
54631.0,med
54691.0,med
54747.0,med
55595.0,med
55953.0,med
56513.0,med
57988.0,med
58949.0,med
59036.0,med
59223.0,med
59310.0,med
59520.0,med
60403.0,med
60631.0,med
61741.0,med
62104.0,med
62630.0,med
63300.0,med
63571.0,med
63659.0,med
64848.0,med
65880.0,med
66639.0,med
66908.0,med
67430.0,med
67451.0,med
67763.0,med
68055.0,med
68220.0,med
68730.0,med
68956.0,med
69104.0,med
69146.0,med
69927.0,med
71810.0,med
72212.0,med
72443.0,med
72464.0,med
73296.0,med
73530.0,med
73556.0,med
7941.0,med
8660.0,med
86812.0,med
92371.0,med
92382.0,med
93175.0,med
94427.0,med
95182.0,med
95458.0,med
96445.0,med
97593.0,med
98483.0,med
98559.0,med
99665.0,med
BBX1.00,readv2
BBY1.00,readv2
BBY1.11,readv2
BBZG.11,readv2
BBZ2.00,readv2
BBZC.00,readv2
BBZG.00,readv2
C40,icd10
C41,icd10